Season,Episode,Date,Title,Rating,Review Count,Synopsis
S4,Ep20,2 May 2005,Day 4: 2:00 a.m.-3:00 a.m.,8.8,"1,261","Palmer authorizes an extraction mission on the Chinese Embassy in L.A, to be led by Jack and Curtis. The intended target is injured during the raid, and the Chinese Consul is shot in friendly fire by his own people. Jack forces the doctors to stop working on Paul and help the suspect."
S4,Ep21,9 May 2005,Day 4: 3:00 a.m.-4:00 a.m.,8.3,"1,156","As Jack and Curtis close in on Marwan's location, Buchanan looks for an alibi when a Chinese representative investigates the raid on the embassy. Logan clashes with Palmer."
S4,Ep22,16 May 2005,Day 4: 4:00 a.m.-5:00 a.m.,8.4,"1,179",Jack fails to stop Marwan from launching the nuclear warhead. Richard Heller becomes a suspect again and James Heller leads the interrogation. Mandy takes Tony hostage after he checks up on Richard's information.
S4,Ep23,23 May 2005,Day 4: 5:00 a.m.-6:00 a.m.,8.8,"1,242","The Chinese representative kidnaps CTU Agent Howard Bern in an attempt to learn who led the raid on the embassy. Palmer and Logan may have to evacuate major U.S. cities in the hopes of preventing nuclear disaster, and Michelle tries to save Tony."
S4,Ep24,23 May 2005,Day 4: 6:00 a.m.-7:00 a.m.,9.0,"1,372",Jack must hunt down Habib Marwan and stop the nuclear bomb that is nearing its target which is Los Angeles. The Chinese demand Jack after Bern's confession and President Logan makes a hasty decision on how to handle the situation.
S5,Ep0,6 Dec. 2005,Season 5 Prequel,8.0,722,"A year following the events of Season 4, as disheveled-looking Jack Bauer is hiding out in Chicago. One day, Chloe comes to meet him, to impart distressing news."
S5,Ep1,15 Jan. 2006,Day 5: 7:00 a.m.-8:00 a.m.,9.1,"1,664","The Russian and US Presidents are set to sign an anti-terror treaty when assassinations rock Los Angeles, a call from a distressed Chloe forces Jack into action and President Logan's wife believes there may be a conspiracy."
S5,Ep2,15 Jan. 2006,Day 5: 8:00 a.m.-9:00 a.m.,8.7,"1,284",Evidence links Jack Bauer to a dastardly assassination; he goes rogue to clear his name while terrorists work below the radar.
S5,Ep3,16 Jan. 2006,Day 5: 9:00 a.m.-10:00 a.m.,8.6,"1,241",Jack hides in the Ontario airport where terrorists are making demands. The First Lady looks for evidence of a phone call from David Palmer the night before.
S5,Ep4,16 Jan. 2006,Day 5: 10:00 a.m.-11:00 a.m.,8.6,"1,254",Jack allows himself to be captured to save Derek. CTU must attack the airport terrorists before the treaty can be signed.
